,id,timeSpentInPark,daysAtPark,numberCheckin,distanceTraveled,numberThrill,numberKiddie,numberEveryone,numberShows,numberInfo
0,1591741.0,41994.0,1.0,27.0,1054.563445339965,11.0,8.0,6.0,2.0,0.0
1,825652.0,120222.0,3.0,58.0,2282.952296254309,24.0,16.0,12.0,6.0,0.0
2,179386.0,103244.0,3.0,50.0,2303.3485770724874,24.0,7.0,12.0,7.0,0.0
3,531348.0,57521.0,2.0,28.0,1181.5403064688214,13.0,2.0,9.0,4.0,0.0
4,1483004.0,42042.0,1.0,20.0,875.2792150216076,10.0,3.0,1.0,6.0,0.0
5,849521.0,117437.0,3.0,49.0,2214.6503536266823,25.0,6.0,10.0,8.0,0.0
6,398396.0,119239.0,3.0,49.0,2177.4774651735906,28.0,11.0,6.0,4.0,0.0
7,675561.0,119242.0,3.0,49.0,2177.4774651735906,28.0,11.0,6.0,4.0,0.0
8,2007598.0,36295.0,1.0,22.0,947.0499883898248,8.0,4.0,3.0,7.0,0.0
9,455752.0,130225.0,3.0,96.0,3570.324371589151,64.0,0.0,21.0,10.0,1.0
10,1881823.0,51078.0,1.0,46.0,1699.6313114609584,34.0,0.0,6.0,5.0,1.0
11,374745.0,51076.0,1.0,46.0,1699.6313114609584,34.0,0.0,6.0,5.0,1.0
12,422300.0,98836.0,3.0,47.0,2116.1205095812197,22.0,10.0,6.0,9.0,0.0
13,73216.0,51076.0,1.0,46.0,1699.6313114609584,34.0,0.0,6.0,5.0,1.0
14,1109689.0,51076.0,1.0,46.0,1699.6313114609584,34.0,0.0,6.0,5.0,1.0
15,1007202.0,36295.0,1.0,22.0,947.0499883898248,8.0,4.0,3.0,7.0,0.0
16,1948150.0,117066.0,3.0,47.0,2212.8399965819895,16.0,15.0,9.0,7.0,0.0
17,996258.0,79363.0,2.0,32.0,1500.2161366668863,10.0,9.0,6.0,7.0,0.0
18,950113.0,112360.0,3.0,53.0,2342.2858022271444,27.0,8.0,11.0,7.0,0.0
19,612957.0,112360.0,3.0,53.0,2342.2858022271444,27.0,8.0,11.0,7.0,0.0
20,2061906.0,112362.0,3.0,53.0,2342.2858022271444,27.0,8.0,11.0,7.0,0.0
21,160360.0,112361.0,3.0,53.0,2342.2858022271444,27.0,8.0,11.0,7.0,0.0
22,880166.0,28644.0,1.0,12.0,448.96220712440993,5.0,3.0,2.0,2.0,0.0
23,766183.0,110935.0,3.0,46.0,2069.6213922901084,20.0,9.0,10.0,7.0,0.0
24,1871836.0,28643.0,1.0,12.0,448.96220712440993,5.0,3.0,2.0,2.0,0.0
25,879255.0,89997.0,3.0,42.0,1888.1298192597878,20.0,10.0,8.0,4.0,0.0
26,11311.0,89997.0,3.0,41.0,1842.3989338177614,19.0,10.0,8.0,4.0,0.0
27,483106.0,89996.0,3.0,42.0,1888.1298192597878,20.0,10.0,8.0,4.0,0.0
28,483896.0,89996.0,3.0,42.0,1888.1298192597878,20.0,10.0,8.0,4.0,0.0
29,539617.0,97022.0,3.0,52.0,2258.943684422119,31.0,8.0,7.0,6.0,0.0
30,932874.0,39103.0,1.0,28.0,1067.3521153272115,20.0,0.0,3.0,5.0,0.0
31,698208.0,127829.0,3.0,69.0,2570.4241641166955,52.0,0.0,9.0,8.0,0.0
32,1229412.0,41163.0,1.0,21.0,1063.2444129754945,5.0,7.0,5.0,4.0,0.0
33,439105.0,48627.0,1.0,33.0,1352.290917389755,24.0,1.0,6.0,2.0,0.0
34,1053224.0,48627.0,1.0,33.0,1352.290917389755,24.0,1.0,6.0,2.0,0.0
35,580064.0,48626.0,1.0,33.0,1352.290917389755,24.0,1.0,6.0,2.0,0.0
36,1464748.0,48627.0,1.0,33.0,1352.290917389755,24.0,1.0,6.0,2.0,0.0
37,903769.0,102517.0,3.0,47.0,2439.902535611455,16.0,15.0,9.0,7.0,0.0
38,1696241.0,144184.0,3.0,70.0,3016.6680598188077,47.0,3.0,13.0,7.0,0.0
39,672552.0,49882.0,3.0,33.0,1555.2280578763246,26.0,3.0,3.0,1.0,0.0
40,1772261.0,127394.0,3.0,54.0,2234.977193604751,31.0,7.0,7.0,9.0,0.0
41,741411.0,41809.0,1.0,27.0,1139.5616460854683,16.0,2.0,4.0,5.0,0.0
42,750163.0,111985.0,3.0,55.0,2192.8582488926436,22.0,12.0,14.0,7.0,0.0
43,515271.0,74000.0,2.0,35.0,1428.3047274113512,15.0,7.0,8.0,5.0,0.0
44,1740708.0,146541.0,3.0,92.0,4152.7791562166385,43.0,21.0,20.0,8.0,0.0
45,1987765.0,146541.0,3.0,92.0,4152.7791562166385,43.0,21.0,20.0,8.0,0.0
46,84322.0,146541.0,3.0,92.0,4152.7791562166385,43.0,21.0,20.0,8.0,0.0
47,1495961.0,119089.0,3.0,74.0,2889.0564858266557,50.0,3.0,15.0,6.0,0.0
48,1313613.0,108422.0,3.0,58.0,2755.458908067285,30.0,11.0,12.0,5.0,0.0
49,944133.0,108422.0,3.0,58.0,2755.458908067285,30.0,11.0,12.0,5.0,0.0
50,1629394.0,108422.0,3.0,58.0,2755.458908067285,30.0,11.0,12.0,5.0,0.0
51,494296.0,50591.0,1.0,37.0,1497.321525159475,26.0,1.0,6.0,4.0,0.0
52,129457.0,50591.0,1.0,37.0,1497.321525159475,26.0,1.0,6.0,4.0,0.0
53,835642.0,50591.0,1.0,37.0,1497.321525159475,26.0,1.0,6.0,4.0,0.0
54,398504.0,111482.0,3.0,46.0,2071.6415942469775,26.0,11.0,7.0,2.0,0.0
55,668662.0,111483.0,3.0,46.0,2071.6415942469775,26.0,11.0,7.0,2.0,0.0
56,1611141.0,115729.0,3.0,60.0,2735.5081543592846,32.0,13.0,11.0,4.0,0.0
57,1451127.0,115729.0,3.0,60.0,2735.5081543592846,32.0,13.0,11.0,4.0,0.0
58,1477256.0,115729.0,3.0,60.0,2735.5081543592846,32.0,13.0,11.0,4.0,0.0
59,91182.0,115729.0,3.0,60.0,2735.5081543592846,32.0,13.0,11.0,4.0,0.0
60,1959437.0,115729.0,3.0,60.0,2735.5081543592846,32.0,13.0,11.0,4.0,0.0
61,508018.0,30924.0,1.0,16.0,804.3126168640999,7.0,3.0,4.0,2.0,0.0
62,1762242.0,95794.0,3.0,42.0,2068.616394027405,16.0,11.0,11.0,4.0,0.0
63,1836139.0,30924.0,1.0,16.0,804.3126168640999,7.0,3.0,4.0,2.0,0.0
64,1593258.0,30922.0,1.0,16.0,804.3126168640999,7.0,3.0,4.0,2.0,0.0
